Year,Title,Authors,Institution Name,Institution Country,Citation Count,Topic
2012,On the difficulty of training Recurrent Neural Networks,"Razvan Pascanu, Tomáš Mikolov, Yoshua Bengio","Brno University of Technology, Université de Montréal","CA, CZ",3528,Artificial Intelligence
2010,"The Business Case for Corporate Social Responsibility: A Review of Concepts, Research and Practice","Archie B. Carroll, Kareem M. Shabana","Indiana University Kokomo, University of Georgia",US,3526,Artificial Intelligence
2006,Hierarchical Dirichlet Processes,"Yee Whye Teh, Michael I. Jordan, Matthew J. Beal, David M. Blei","National University of Singapore, University at Buffalo, State University of New York, Princeton University","US, SG",3525,Artificial Intelligence
2001,FITTING MULTIVARIATE MODELS TO COMMUNITY DATA: A COMMENT ON DISTANCE-BASED REDUNDANCY ANALYSIS,"Brian H. McArdle, Marti J. Anderson",University of Auckland,NZ,3524,Artificial Intelligence
1972,Excitatory and Inhibitory Interactions in Localized Populations of Model Neurons,"Hugh R. Wilson, Jack D. Cowan",University of Chicago,US,3522,Artificial Intelligence
2003,A Comparison of Bayesian Methods for Haplotype Reconstruction from Population Genotype Data,"Matthew Stephens, Peter Donnelly","University of Oxford, Seattle University, University of Washington","GB, US",3522,Artificial Intelligence
2007,On the performance of artificial bee colony (ABC) algorithm,"Derviş Karaboğa, Bahriye Akay",Erciyes University,TR,3522,Artificial Intelligence
1992,,"Christopher J. Watkins, Peter Dayan","Highbury Hospital, University of Edinburgh",GB,3519,Artificial Intelligence
2004,Conceptual issues in local adaptation,"Tadeusz J. Kawecki, Dieter Ebert",University of Fribourg,CH,3519,Artificial Intelligence
1987,The efficiency of systematic sampling in stereology and its prediction*,"H. J. G. Gundersen, Eva B. Vedel Jensen",Aarhus University,DK,3517,Artificial Intelligence
2013,"A review of shape memory alloy research, applications and opportunities","Jaronie Mohd Jani, Martin Leary, Aleksandar Subic, Mark Gibson","University of Kuala Lumpur, CSIRO Manufacturing, RMIT University","MY, AU",3515,Artificial Intelligence
2018,GLUE: A Multi-Task Benchmark and Analysis Platform for Natural Language Understanding,"Alex Wang, Amanpreet Singh, Julian Michael, Felix Hill, Omer Levy, Samuel Bowman","DeepMind (United Kingdom), University of Washington, New York University","GB, US",3514,Artificial Intelligence
2007,P-LINCS: A Parallel Linear Constraint Solver for Molecular Simulation,Berk Hess,Max Planck Institute for Polymer Research,DE,3510,Artificial Intelligence
2015,Dropout as a Bayesian Approximation: Representing Model Uncertainty in Deep Learning,"Yarin Gal, Zoubin Ghahramani",University of Cambridge,GB,3510,Artificial Intelligence
2015,ORB-SLAM: A Versatile and Accurate Monocular SLAM System,"Raul Mur-Artal, J. M. M. Montiel, Juan D. Tardós",Universidad de Zaragoza,ES,3509,Artificial Intelligence
2002,<scp>spag</scp>e<scp>d</scp>i: a versatile computer program to analyse spatial genetic structure at the individual or population levels,"Olivier J. Hardy, Xavier Vekemans",Université Libre de Bruxelles,BE,3508,Artificial Intelligence
1993,Crystal orbital Hamilton populations (COHP): energy-resolved visualization of chemical bonding in solids based on density-functional calculations,"Richard Dronskowski, Peter E. Bloechl",Unknown Institution,Unknown Country,3507,Artificial Intelligence
2006,Comprehensive learning particle swarm optimizer for global optimization of multimodal functions,"Jing Liang, A. K. Qin, Ponnuthurai Nagaratnam Suganthan, S. Baskar",Nanyang Technological University,SG,3507,Artificial Intelligence
2002,Normalization for cDNA microarray data: a robust composite method addressing single and multiple slide systematic variation,Jean Yang,"University of California, Berkeley",US,3504,Artificial Intelligence
2002,Detecting faces in images: a survey,"Shuicheng Yan, David Kriegman, Narendra Ahuja","Honda (United States), University of Illinois Urbana-Champaign",US,3504,Artificial Intelligence
2007,Overview of the Scalable Video Coding Extension of the H.264/AVC Standard,"Heiko Schwarz, Detlev Marpe, Thomas Wiegand","Fraunhofer Institute for Telecommunications, Heinrich Hertz Institute",DE,3499,Artificial Intelligence
1982,Multivariate Analysis in Community Ecology,Hugh G. Gauch,Unknown Institution,Unknown Country,3498,Artificial Intelligence
1992,The CHILDES project: tools for analyzing talk,Brian MacWhinney,Hillsdale College,US,3497,Artificial Intelligence
1996,Movement‐Related effects in fMRI time‐series,"Karl Friston, Steven Williams, Robert Howard, R. S. J. Frackowiak, Robert Turner","University College London, Capital Region of Denmark, National Hospital for Neurology and Neurosurgery","GB, DK",3497,Artificial Intelligence
1998,Parameter selection in particle swarm optimization,"Yuhui Shi, Russell C. Eberhart","Indiana University – Purdue University Indianapolis, University of Indianapolis",US,3496,Artificial Intelligence
2014,How transferable are features in deep neural networks?,"Jason Yosinski, Jeff Clune, Yoshua Bengio, Hod Lipson",Unknown Institution,Unknown Country,3496,Artificial Intelligence
2011,Nonlinear Feedback Design for Fixed-Time Stabilization of Linear Control Systems,Andrey Polyakov,V. A. Trapeznikov Institute of Control Sciences,RU,3495,Artificial Intelligence
1980,A theory of reading: From eye fixations to comprehension.,"Marcel Adam Just, Patricia A. Carpenter",Unknown Institution,Unknown Country,3495,Artificial Intelligence
2011,Large-scale automated synthesis of human functional neuroimaging data,"Tal Yarkoni, Russell A. Poldrack, Thomas E. Nichols, David C. Van Essen, Tor D. Wager","Washington University in St. Louis, University of Colorado Boulder, University of Warwick","GB, US",3494,Artificial Intelligence
1989,Visual search and stimulus similarity.,"John S. Duncan, Glyn W. Humphreys",MRC Biostatistics Unit,GB,3494,Artificial Intelligence
2015,A large annotated corpus for learning natural language inference,"Samuel R. Bowman, Gabor Angeli, Christopher Potts, Christopher D. Manning",Stanford University,US,3491,Artificial Intelligence
1970,On r- and K-Selection,Eric R. Pianka,Unknown Institution,Unknown Country,3491,Artificial Intelligence
1992,X-PLOR Version 3.1: A System for X-ray Crystallography and NMR,Axel T. Brünger,Unknown Institution,Unknown Country,3488,Artificial Intelligence
1991,The JPEG still picture compression standard,Gregory K. Wallace,Digital Wave (United States),US,3487,Artificial Intelligence
2006,The Effects of Cognitive and Noncognitive Abilities on Labor Market Outcomes and Social Behavior,"James J. Heckman, Jora Stixrud, Sergio Urzúa","University of Chicago, American Bar Foundation, University College Dublin","US, IE",3487,Artificial Intelligence
2021,Coordinate Attention for Efficient Mobile Network Design,"Qibin Hou, Daquan Zhou, Jiashi Feng",National University of Singapore,SG,3487,Artificial Intelligence
1998,Multiscale vessel enhancement filtering,"Alejandro F. Frangi, Wiro J. Niessen, Koen L. Vincken, Max A. Viergever",Utrecht University,NL,3486,Artificial Intelligence
2019,Deep learning and process understanding for data-driven Earth system science,"Markus Reichstein, Gustau Camps‐Valls, Björn Stevens, Martin Jung, Joachim Denzler, Nuno Carvalhais, Prabhat","Universitat de València, Max Planck Institute for Biogeochemistry, Universidade Nova de Lisboa, Friedrich Schiller University Jena, Lawrence Berkeley National Laboratory, Max Planck Institute for Meteorology","ES, DE, US, PT",3484,Artificial Intelligence
1987,Why a Diagram is (Sometimes) Worth Ten Thousand Words,"Jill H. Larkin, Herbert A. Simon",Carnegie Mellon University,US,3483,Artificial Intelligence
2018,Residual Dense Network for Image Super-Resolution,"Yulun Zhang, Yapeng Tian, Yu Kong, Bineng Zhong, Yun Fu","University of Rochester, Northeastern University",US,3483,Artificial Intelligence
2000,Surpassing the lateral resolution limit by a factor of two using structured illumination microscopy,Mats G. Gustafsson,"University of California, San Francisco",US,3482,Artificial Intelligence
2010,Front-End Factor Analysis for Speaker Verification,"Najim Dehak, Patrick Kenny, Réda Dehak, Pierre Dumouchel, Pierre Ouellet","École de Technologie Supérieure, Massachusetts Institute of Technology, Computer Research Institute of Montréal","CA, US",3482,Artificial Intelligence
2004,Estimating mutual information,"Alexander Kraskov, Harald Stögbauer, Peter Grassberger","Forschungszentrum Jülich, John von Neumann Institute for Computing",DE,3481,Artificial Intelligence
2020,Fundamentals of Recurrent Neural Network (RNN) and Long Short-Term Memory (LSTM) network,A. Sherstinsky,Unknown Institution,Unknown Country,3481,Artificial Intelligence
2004,Conflict monitoring and anterior cingulate cortex: an update,"Matthew Botvinick, Jonathan D. Cohen, Cameron S. Carter","University of Pittsburgh, University of California, Davis, Princeton University, University of Pennsylvania",US,3480,Artificial Intelligence
2006,Ultra-High Resolution Imaging by Fluorescence Photoactivation Localization Microscopy,"Samuel T. Hess, Thanu Prabha Kalambur Girirajan, Michael D. Mason",University of Maine,US,3478,Artificial Intelligence
1986,"Decoding, Reading, and Reading Disability","Philip B. Gough, William E. Tunmer","University of Minnesota, The University of Texas at Austin",US,3478,Artificial Intelligence
2000,Image inpainting,"Marcelo Bertalmı́o, Guillermo Sapiro, V. Caselles, Coloma Ballester","University of Minnesota, Pompeu Fabra University","ES, US",3478,Artificial Intelligence
1990,Fault diagnosis in dynamic systems using analytical and knowledge-based redundancy,Paul M. Frank,Unknown Institution,Unknown Country,3475,Artificial Intelligence
2004,The Online Disinhibition Effect,John R. Suler,Rider University,US,3475,Artificial Intelligence
2013,Quantum electrodynamics,Matthew D. Schwartz,Harvard University Press,US,3475,Artificial Intelligence
2004,Beyond the Kalman Filter: Particle Filters for Tracking Applications,"Branko Ristić, Sanjeev Arulampalam, Neil Gordon",Australian Defence Force Academy,AU,3474,Artificial Intelligence
2009,Natural Language Processing with Python,"Steven Bird, Ewan Klein, Edward Loper","The University of Melbourne, California University of Pennsylvania","AU, US",3474,Artificial Intelligence
1985,Impedance Control: An Approach to Manipulation: Part I—Theory,Neville Hogan,Massachusetts Institute of Technology,US,3474,Artificial Intelligence
1985,A new method for gray-level picture thresholding using the entropy of the histogram,"J. N. Kapur, Prasanna K. Sahoo, Andrew K. C. Wong","Indian Institute of Technology Kanpur, University of Waterloo","CA, IN",3474,Artificial Intelligence
1981,The mechanism of stochastic resonance,"Roberto Benzi, Alfonso Sutera, Angelo Vulpiani",Institute of Atmospheric Sciences and Climate,IT,3470,Artificial Intelligence
2003,Probability Theory,E. T. Jaynes,Unknown Institution,Unknown Country,3470,Artificial Intelligence
2011,HMDB: A large video database for human motion recognition,"Hilde Kuehne, Hueihan Jhuang, Estíbaliz Garrote, Tomaso Poggio, T. Serre","Massachusetts Institute of Technology, Karlsruhe Institute of Technology, Brown University","DE, US",3469,Artificial Intelligence
1996,A tutorial on visual servo control,"Seth Hutchinson, Gregory D. Hager, Peter Corke","University of Illinois Urbana-Champaign, CSIRO Manufacturing, Yale University","AU, US",3469,Artificial Intelligence
2011,Real-time human pose recognition in parts from single depth images,"Jamie Shotton, Andrew Fitzgibbon, Mat Cook, Toby Sharp, Mark Finocchio, Richard B. Moore, Alex Kipman, Andrew Blake",Microsoft Research (United Kingdom),GB,3469,Artificial Intelligence
2002,The Cambridge Grammar of the English Language,"Rodney Huddleston, Geoffrey K. Pullum","The University of Queensland, University of Edinburgh","GB, AU",3469,Artificial Intelligence
1985,Spatiotemporal energy models for the perception of motion,"Edward H. Adelson, James R. Bergen",RCA (United States),US,3468,Artificial Intelligence
2016,Unobservable Selection and Coefficient Stability: Theory and Evidence,Emily Oster,Brown University,US,3467,Artificial Intelligence
2015,"Causal Inference for Statistics, Social, and Biomedical Sciences","Guido W. Imbens, Donald B. Rubin","Harvard University Press, Stanford University",US,3467,Artificial Intelligence
2013,Action Recognition with Improved Trajectories,"Heng Wang, Cordelia Schmid","Centre Inria de l'Université Grenoble Alpes, Institut national de recherche en informatique et en automatique",FR,3465,Artificial Intelligence
2001,An introduction to kernel-based learning algorithms,"K. Müller, Mika Sirén, Gunnar Rätsch, Koji Tsuda, Bernhard Schölkopf","University of Electro-Communications, University of Potsdam, Savannah Technical College","DE, US, JP",3464,Artificial Intelligence
1999,A Value-Belief-Norm Theory of Support for Social Movements: The Case of Environmentalism,"Paul C. Stern, Thomas Dietz, Troy D. Abel, Gregory A. Guagnano, Linda Kalof",Unknown Institution,Unknown Country,3464,Artificial Intelligence
2008,Recent developments in the MAFFT multiple sequence alignment program,"Kazutaka Katoh, Hidehiro Toh",Kyushu University,JP,3463,Artificial Intelligence
1975,The Concepts of a Linguistic Variable and its Application to Approximate Reasoning,Lotfi A. Zadeh,Unknown Institution,Unknown Country,3463,Artificial Intelligence
1973,Image Formation by Induced Local Interactions: Examples Employing Nuclear Magnetic Resonance,Paul C. Lauterbur,Stony Brook University,US,3461,Artificial Intelligence
2002,Efficient variants of the ICP algorithm,"Szymon Rusinkiewicz, Marc Levoy",Unknown Institution,Unknown Country,3461,Artificial Intelligence
2018,2018 IEEE/CVF Conference on Computer Vision and Pattern Recognition,,Unknown Institution,Unknown Country,3461,Artificial Intelligence
2005,METEOR: An Automatic Metric for MT Evaluation with Improved Correlation with Human Judgments,"Satanjeev Banerjee, Alon Lavie",Carnegie Mellon University,US,3460,Artificial Intelligence
2011,<b>MatchIt</b>: Nonparametric Preprocessing for Parametric Causal Inference,"Daniel E. Ho, Kosuke Imai, Gary King, Elizabeth A. Stuart",Harvard University Press,US,3460,Artificial Intelligence
2014,A Convolutional Neural Network for Modelling Sentences,"Nal Kalchbrenner, Edward Grefenstette, Phil Blunsom",University of Oxford,GB,3459,Artificial Intelligence
1987,Feedback control of dynamic systems,Stephen Kahne,Oregon Social Learning Center,US,3459,Artificial Intelligence
2002,Beware of q2!,"Alexander Golbraikh, Alexander Tropsha",University of North Carolina at Chapel Hill,US,3458,Artificial Intelligence
2007,Graph-Based Visual Saliency,"Jonathan Harel, Christof Koch, Pietro Perona",California Institute of Technology,US,3458,Artificial Intelligence
2012,Resilient distributed datasets: a fault-tolerant abstraction for in-memory cluster computing,"Matei Zaharia, Mosharaf Chowdhury, Tathagata Das, Ankur Dave, Justin Ma, Murphy McCauley, Michael J. Franklin, Scott Shenker, Ion Stoica","University of California, Berkeley",US,3457,Artificial Intelligence
1995,A new model for control of systems with friction,"Carlos Canudas de Wit, Henrik Olsson, Karl Johan Åström, P. Lischinsky","Lund Science (Sweden), Centre National de la Recherche Scientifique","FR, SE",3452,Artificial Intelligence
1997,Manifesto for a Relational Sociology,Mustafa Emirbayer,New School,US,3451,Artificial Intelligence
1988,Interpolation of Operators,"Curtis D. Bennett, M Sharpley",Unknown Institution,Unknown Country,3449,Artificial Intelligence
1984,Adaptive filtering prediction and control,"Graham C. Goodwin, Kwai Sin",Unknown Institution,Unknown Country,3449,Artificial Intelligence
1998,Critique of Pure Reason,Immanuel Kant,Unknown Institution,Unknown Country,3447,Artificial Intelligence
1994,Guided Search 2.0 A revised model of visual search,Jeremy M. Wolfe,"Harvard University, Brigham and Women's Hospital",US,3447,Artificial Intelligence
1988,CLUSTAL: a package for performing multiple sequence alignment on a microcomputer,"Desmond G. Higgins, Paul M. Sharp",Trinity College Dublin,IE,3447,Artificial Intelligence
2014,Semantic Image Segmentation with Deep Convolutional Nets and Fully Connected CRFs,"Liang-Chieh Chen, George Papandreou, Iasonas Kokkinos, Kevin Murphy, Alan Yuille","University of California, Los Angeles, CentraleSupélec, Institut national de recherche en informatique et en automatique, Google (United States)","FR, US",3445,Artificial Intelligence
1988,"Radial Basis Functions, Multi-Variable Functional Interpolation and Adaptive Networks","David S. Broomhead, David Lowe",Unknown Institution,Unknown Country,3444,Artificial Intelligence
1990,Psychological perspectives on successful aging: The model of selective optimization with compensation,"Paul B. Baltes, Margret M. Baltes",Max Planck Institute for Human Development,DE,3442,Artificial Intelligence
1986,A hierarchical O(N log N) force-calculation algorithm,"Josh Barnes, Piet Hut",Institute for Advanced Study,US,3441,Artificial Intelligence
1995,Creating false memories: Remembering words not presented in lists.,"Henry L. Roediger, Kathleen B. McDermott",Rice University,US,3440,Artificial Intelligence
1992,introduction to random signals and applied kalman filtering,"Robert G. Brown, Patrick Y. Hwang",Unknown Institution,Unknown Country,3438,Artificial Intelligence
1996,Speed of processing in the human visual system,"Simon J. Thorpe, Denis Fize, Catherine Marlot",Centre de recherche cerveau et cognition,FR,3438,Artificial Intelligence
1990,The symbol grounding problem,Stevan Harnad,Princeton University,US,3438,Artificial Intelligence
1986,An attributional theory of motivation and emotion,Bernard Weiner,Unknown Institution,Unknown Country,3437,Artificial Intelligence
2008,Procedure for Estimation and Reporting of Uncertainty Due to Discretization in CFD Applications,,Unknown Institution,Unknown Country,3436,Artificial Intelligence
2020,Version 4 of the CRU TS monthly high-resolution gridded multivariate climate dataset,"Ian Harris, Timothy J. Osborn, P. D. Jones, David Lister","National Centre for Atmospheric Science, University of East Anglia",GB,3431,Artificial Intelligence
1993,A User's Guide to Principal Components,"Stefan D. Leigh, J. Edward Jackson",Unknown Institution,Unknown Country,3430,Artificial Intelligence
2017,Simple online and realtime tracking with a deep association metric,"Nicolai Wojke, Alex Bewley, Dietrich Paulus","University of Koblenz and Landau, Queensland University of Technology, Universität Koblenz","DE, AU",3430,Artificial Intelligence
2018,Graph Attention Networks,"Petar Veličković, Guillem Cucurull, Arantxa Casanova, Adriana Romero, Píetro Lió, Yoshua Bengio","HEC Montréal, Universitat Politècnica de Catalunya, University of Cambridge, Université de Montréal, Universitat Autònoma de Barcelona","GB, ES, CA",3430,Artificial Intelligence
2009,A Survey of Collaborative Filtering Techniques,"Xiaoyuan Su, Taghi M. Khoshgoftaar",Florida Atlantic University,US,3428,Artificial Intelligence
2003,"Higher-order sliding modes, differentiation and output-feedback control",Arie Levant,Tel Aviv University,IL,3425,Artificial Intelligence
2000,Creating and managing a high-performance knowledge-sharing network: the Toyota case,"Jeffrey H. Dyer, Kentaro Nobeoka","Kobe University, Brigham Young University","US, JP",3425,Artificial Intelligence
1992,Neural Networks and the Bias/Variance Dilemma,"Stuart Geman, Elie Bienenstock, René Doursat","ESPCI Paris, Brown University","FR, US",3423,Artificial Intelligence
2020,CSPNet: A New Backbone that can Enhance Learning Capability of CNN,"Chien-Yao Wang, Hong-Yuan Mark Liao, Yueh-Hua Wu, Ping-Yang Chen, Jun-Wei Hsieh, I-Hau Yeh","National Yang Ming Chiao Tung University, Institute of Information Science, Academia Sinica, ELAN Microelectronics (Taiwan)",TW,3422,Artificial Intelligence
2015,Differential analyses for RNA-seq: transcript-level estimates improve gene-level inferences,"Charlotte Soneson, Michael I. Love, Mark D. Robinson","Harvard University, Dana-Farber Cancer Institute, SIB Swiss Institute of Bioinformatics, University of Zurich","CH, US",3421,Artificial Intelligence
2012,Haplotype-based variant detection from short-read sequencing,"Erik Garrison, Gábor Marth",Unknown Institution,Unknown Country,3420,Artificial Intelligence
2001,Stability of networked control systems,"Wei Zhang, Michael S. Branicky, S.M. Phillips",Case Western Reserve University,US,3420,Artificial Intelligence
2010,Software Framework for Topic Modelling with Large Corpora,"Radim Řehůřek, Petr Sojka",Masaryk University,CZ,3418,Artificial Intelligence
2014,LSD-SLAM: Large-Scale Direct Monocular SLAM,"Jakob Engel, Thomas Schöps, Daniel Cremers",Unknown Institution,Unknown Country,3417,Artificial Intelligence
2007,Gradient Projection for Sparse Reconstruction: Application to Compressed Sensing and Other Inverse Problems,"Mário A. T. Figueiredo, Robert D. Nowak, Stephen J. Wright","Instituto de Telecomunicações, University of Wisconsin–Madison, Instituto Superior Técnico","US, PT",3416,Artificial Intelligence
2002,Do formal contracts and relational governance function as substitutes or complements?,"Laura Poppo, Todd Zenger","Virginia Tech, Washington University in St. Louis",US,3416,Artificial Intelligence
2012,Computing Inter-Rater Reliability for Observational Data: An Overview and Tutorial,Kevin A. Hallgren,Unknown Institution,Unknown Country,3416,Artificial Intelligence
2001,Some New Thoughts on Conceptualizing Perceived Service Quality: A Hierarchical Approach,"Michael K. Brady, J. Joseph Cronin","Florida State University, Boston College",US,3416,Artificial Intelligence
2016,Categorical Reparameterization with Gumbel-Softmax,"Eric Jang, Shixiang Gu, Ben Poole",Unknown Institution,Unknown Country,3416,Artificial Intelligence
2003,Core outcome domains for chronic pain clinical trials: IMMPACT recommendations,"Dennis C. Turk, Robert H. Dworkin, Robert R. Allen, Nicholas Bellamy, Nancy A. Brandenburg, Daniel B. Carr, Charles S. Cleeland, Raymond A. Dionne, John T. Farrar, Bradley S. Galer, David Hewitt, Alejandro R. Jadad, Nathaniel P. Katz, Lynn D. Kramer, Donald C. Manning, Cynthia G. McCormick, Michael P. McDermott, Patrick J. McGrath, Steve Quessy, Bob A. Rappaport, James P. Robinson, Mike A. Royal, Lee S. Simon, Joseph Stauffer, Wendy M. Stein, Jane Tollett, James Witter","National Institutes of Health, University of California, San Diego, Ortho Clinical Diagnostics (United States), Tufts University, Dalhousie University, University of Rochester, Harvard University Press, AstraZeneca (United States), University of Washington, University of Toronto, Endo Pharmaceuticals (United States), Purdue Pharma (United States), The University of Texas MD Anderson Cancer Center, University of Pennsylvania, The University of Queensland, National Institute of Dental and Craniofacial Research, United States Department of Veterans Affairs, Novartis (United States), Research Triangle Park Foundation, Center for Clinical Research (United States), United States Food and Drug Administration, GlaxoSmithKline (United States), Pfizer (United States), University Health Network, Abbott Fund","CA, AU, US",3415,Artificial Intelligence
2011,Learning Word Vectors for Sentiment Analysis,"Andrew L. Maas, Raymond E. Daly, Peter T. Pham, Dan Huang, Andrew Y. Ng, Christopher Potts",Stanford University,US,3415,Artificial Intelligence
2009,Molecular replacement with<i>MOLREP</i>,"Alexei A. Vagin, A. Teplyakov","University of York, Biotechnology Institute","GB, US",3414,Artificial Intelligence
1980,Measuring security price performance,"Stephen J. Brown, Jerold B. Warner",University of Rochester,US,3411,Artificial Intelligence
2001,Diffusion tensor imaging: Concepts and applications,"Denis Le Bihan, Jean‐François Mangin, Cyril Poupon, Chris A. Clark, Sabina Pappatà, Nicolas Molko, Hugues Chabriat","Commissariat à l'Énergie Atomique et aux Énergies Alternatives, Centre Hospitalier d'Orsay, Hôpital Lariboisière",FR,3411,Artificial Intelligence
2017,Residual Attention Network for Image Classification,"Fei Wang, Mengqing Jiang, Chen Qian, Shuo Yang, Cheng Li, Honggang Zhang, Xiaogang Wang, Xiaoou Tang","Tsinghua University, Group Sense (China), Chinese University of Hong Kong, Beijing University of Posts and Telecommunications","CN, HK",3411,Artificial Intelligence
2007,Validation of the new Hipparcos reduction,F. van Leeuwen,University of Cambridge,GB,3410,Artificial Intelligence
1994,Automatic 3D Intersubject Registration of MR Volumetric Data in Standardized Talairach Space,"D. Louis Collins, P. Neelin, Terrence M. Peters, Alan C. Evans","Montreal Neurological Institute and Hospital, McGill University",CA,3410,Artificial Intelligence
1991,Measurement and Control of Response Bias,Delroy L. Paulhus,Unknown Institution,Unknown Country,3410,Artificial Intelligence
2008,The law and economics of self-dealing,"Simeon Djankov, Rafael La Porta, Florencio López‐de‐Silanes, Andrei Shleifer","University of Amsterdam, Harvard University, Ecole des Hautes Etudes Commerciales du Nord, Dartmouth College","FR, US, NL",3410,Artificial Intelligence
2006,Robot Modeling and Control,"Mark W. Spong, Seth Hutchinson, M. Vidyasagar",Linköping University,SE,3409,Artificial Intelligence
2022,A ConvNet for the 2020s,"Zhuang Liu, Hanzi Mao, Chao-Yuan Wu, Christoph Feichtenhofer, Trevor Darrell, Saining Xie","University of California, Berkeley, Berkeley College, Meta (Israel)","IL, US",3409,Artificial Intelligence
1992,Quasi-maximum likelihood estimation and inference in dynamic models with time-varying covariances,"Tim Bollerslev, Jeffrey M. Wooldridge",Northwestern University,US,3408,Artificial Intelligence
2001,Commitment in the workplace: toward a general model,"John P. Meyer, Lynne Herscovitch",Western University,CA,3407,Artificial Intelligence
2020,Estimating the effects of non-pharmaceutical interventions on COVID-19 in Europe,"Seth Flaxman, Swapnil Mishra, Axel Gandy, H. Juliette T. Unwin, Thomas A. Mellan, Helen Coupland, Charles Whittaker, Harrison Zhu, Tresnia Berah, Jeffrey W. Eaton, Mélodie Monod, Pablo N. Perez‐Guzman, Nora Schmit, Lucia Cilloni, Kylie E. C. Ainslie, Marc Baguelin, Adhiratha Boonyasiri, Olivia Boyd, Lorenzo Cattarino, Laura Cooper, Zulma M. Cucunubá, Gina Cuomo-Dannenburg, Amy Dighe, Bimandra A Djaafara, Ilaria Dorigatti, Sabine van Elsland, Richard G. FitzJohn, Katy A. M. Gaythorpe, Lily Geidelberg, Nicholas C. Grassly, William D. Green, Timothy B. Hallett, Arran Hamlet, Wes Hinsley, B Jeffrey, Edward Knock, Daniel J. Laydon, Gemma Nedjati‐Gilani, Pierre Nouvellet, Kris V. Parag, Igor Siveroni, Hayley Thompson, Robert Verity, Erik Volz, Caroline E. Walters, Haowei Wang, Yuanrong Wang, Oliver J. Watson, Peter Winskill, Xiaoyue Xi, Patrick Walker, Azra C. Ghani, Christl A. Donnelly, Steven Riley, Michaela Vollmer, Neil M. Ferguson, Lucy Okell, Samir Bhatt","University of Sussex, University of Oxford, Imperial College London, NIHR Imperial Biomedical Research Centre, Brown University","GB, US",3407,Artificial Intelligence
1998,Approximate Statistical Tests for Comparing Supervised Classification Learning Algorithms,Thomas G. Dietterich,Oregon State University,US,3403,Artificial Intelligence
2005,Estimation and Inference of Impulse Responses by Local Projections,Òscar Jordà,"University of California, Davis",US,3402,Artificial Intelligence
1999,Strategic alignment: Leveraging information technology for transforming organizations,"John C. Henderson, Hemalatha Venkatraman","Massachusetts Institute of Technology, Boston University",US,3400,Artificial Intelligence
1967,Eye Movements and Vision,A. L. Iarbus,Unknown Institution,Unknown Country,3395,Artificial Intelligence
1980,The scientific image,"William Demopoulos, Bas C. van Fraassen",Unknown Institution,Unknown Country,3394,Artificial Intelligence
1969,A Nonlinear Mapping for Data Structure Analysis,John W. Sammon,Hanscom Air Force Base,US,3394,Artificial Intelligence
2003,Handbook of Metaheuristics,"Fred Glover, Gary Kochenberger","University of Colorado Denver, University of Colorado Boulder",US,3394,Artificial Intelligence
1978,Communicating sequential processes,C. A. R. Hoare,Queen's University Belfast,GB,3394,Artificial Intelligence
1995,A step-by-step approach to using the SAS system for factor analysis and structural equation modeling,Larry Hatcher,Unknown Institution,Unknown Country,3393,Artificial Intelligence
1984,Decomposition of Hardy Functions into Square Integrable Wavelets of Constant Shape,"A. Großmann, J. Morlet",Unknown Institution,Unknown Country,3393,Artificial Intelligence
1994,The interdisciplinary study of coordination,"Thomas W. Malone, Kevin Crowston","Massachusetts Institute of Technology, University of Michigan–Ann Arbor",US,3393,Artificial Intelligence
2002,"International Classification of Functioning, Disability and Health (ICF) 2001","María Teresa Jiménez-Buñuales, Paulino González Diego, José Manuel Almansa Moreno","Instituto de Salud Carlos III, Defense Information Systems Agency","ES, US",3392,Artificial Intelligence
2013,"Methods to detect, characterize, and remove motion artifact in resting state fMRI","Jonathan D. Power, Anish Mitra, Timothy O. Laumann, Abraham Z. Snyder, Bradley L. Schlaggar, Steven E. Petersen",Washington University in St. Louis,US,3391,Artificial Intelligence
1997,A Fast Fixed-Point Algorithm for Independent Component Analysis,"Aapo Hyvärinen, Erkki Oja",Helsinki Institute for Information Technology,FI,3391,Artificial Intelligence
2006,Self-efficacy beliefs of adolescents,"Frank Pajares, Timothy C. Urdan",Unknown Institution,Unknown Country,3391,Artificial Intelligence
2006,Probabilistic diffusion tractography with multiple fibre orientations: What can we gain?,"Timothy E.J. Behrens, Heidi Johansen‐Berg, Saâd Jbabdi, Matthew F. S. Rushworth, Mark W. Woolrich","University of Oxford, Wellcome Centre for Integrative Neuroimaging",GB,3390,Artificial Intelligence
2007,Adaptive versus non‐adaptive phenotypic plasticity and the potential for contemporary adaptation in new environments,"Cameron K. Ghalambor, John McKay, Scott P. Carroll, David N. Reznick","University of California, Riverside, University of California, Davis, Colorado State University",US,3390,Artificial Intelligence
2016,“Why Should I Trust You?”: Explaining the Predictions of Any Classifier,"Marco Ribeiro, Sameer Singh, Carlos Guestrin",University of Washington,US,3390,Artificial Intelligence
2019,WIEN2k: An Augmented Plane Wave Plus Local Orbitals Program for Calculating Crystal Properties,"Peter Blaha, Karlheinz Schwarz, Georg K. H. Madsen, Dieter Kvasnicka, J. Luitz, Robert Laskowsk, Fabien Tran, Laurence D. Marks",TU Wien,AT,3390,Artificial Intelligence
